NAME;Verkehr;lng;lat
Hamburg Elbbrücken;RV;10.0245;53.5345
Eutingen Nord;RV;8.7531;48.4847
Ingolstadt Audi;RV;11.4074564;48.7904959
Einbeck Otto-Hahn-Straße;RV;9.89290953;51.8144784
Nörvenich-Rommelsheim;nur DPN;6.547586;50.782539
Straßgräbchen-Bernsdorf;nur DPN;14.052047;51.361469
Dornstetten-Aach;RV;8.48291;48.4733
Feldolling;nur DPN;11.852244;47.895336
Frankfurt(Main)-Gateway Gardens;RV;8.59449506;50.0565739
Halver-Oberbrügge;RV;7.574042;51.191867
Jaderberg;nur DPN;8.182909;53.339108
Kierspe;RV;7.61622906;51.1300136
Reken-Klein Reken;nur DPN;7.03519821;51.7870373
Rosenheim Aicherpark;nur DPN;12.089467;47.851651
Stettfeld-Weiher;RV;8.6369276;49.1836249
Flughafen BER - Terminal 1-2;FV;13.5119498;52.3648038
Donndorf(Unstrut);nur DPN;11.376962;51.298312
Bernburg-Roschwitz;nur DPN;11.7593;51.7811
Leipzig Mockauer Straße;RV;12.4121;51.3738
Roßleben;nur DPN;11.436302;51.297859
Waßmannsdorf;RV;13.4635305;52.36842
Wiednitz;nur DPN;14.039241;51.393167
Rheinsberg Stechlinsee;nur DPN;12.985605;53.149007
Flughafen BER - Terminal 1-2 (S-Bahn);RV;13.5119176;52.3648431
Aachen Hbf;FV;6.091499;50.7678
Aalen Hbf;FV;10.096271;48.841013
Altenbeken;FV;8.943319;51.766433
Alzey;RV;8.109749;49.7502
Ansbach;FV;10.578239;49.298032
Aschaffenburg Hbf;FV;9.143697;49.980557
Ascheberg(Holst);RV;10.339481;54.148462
Au(Sieg);RV;7.656537;50.773765
Augsburg Hbf;FV;10.88557;48.365441
Aulendorf;FV;9.644046;47.953052
Babenhausen(Hess);nur DPN;8.957182;49.957963
Backnang;RV;9.425989;48.942676
Bad Friedrichshall Hbf;RV;9.199771;49.231571
Bad Harzburg;RV;10.555444;51.888116
Bad Hersfeld;FV;9.716182;50.869632
Bad Kreuznach;RV;7.866435;49.842399
Bad Nenndorf;RV;9.378603;52.343735
Bad Oldesloe;RV;10.3825414;53.8053902
Bamberg;FV;10.899489;49.900759
Basel Bad Bf;FV;7.607805;47.567288
Schwandorf;RV;12.103802;49.3263803
Bayreuth Hbf;RV;11.579985;49.949616
Bebra;FV;9.797788;50.969568
Bedburg(Erft);RV;6.572615;50.987478
Bensheim;FV;8.616717;49.681329
Schweinfurt Hbf;RV;10.212919;50.035313
Schwelm;RV;7.289681;51.290526
Betzdorf(Sieg);RV;7.87005;50.789294
Bielefeld Hbf;FV;8.532722;52.029261
Schwerte(Ruhr);RV;7.55896;51.442281
Bietigheim-Bissingen;RV;9.137557;48.947933
Bingen(Rhein) Hbf;FV;7.884263;49.968729
Bochum Hbf;FV;7.223275;51.478609
Seckach;RV;9.338469;49.441157
Seesen;RV;10.173898;51.887263
Bonn Hbf;FV;7.097136;50.732008
Boppard Hbf;FV;7.586102;50.231413
Siegen Hbf;RV;8.016508;50.875939
Bottrop Hbf;RV;6.936684;51.50945
Brackwede;RV;8.498426;51.997378
Braunschweig Hbf;FV;10.540295;52.252218
Bremen Hbf;FV;8.813834;53.083481
Bremerhaven Hbf;RV;8.599555;53.534912
Bretten;RV;8.693448;49.0369
Brilon Wald;RV;8.576073;51.349159
Bruchsal;FV;8.589649;49.124622
Buchholz(Nordheide);nur DPN;9.876266;53.324683
Buchloe;FV;10.716217;48.033723
Büchen;FV;10.623298;53.474972
Bünde(Westf);FV;8.573876;52.202075
Siershahn;nur DPN;7.77138;50.485857
Burg-u. Nieder Gemünden;nur DPN;9.047604;50.691113
Steinfurt-Burgsteinfurt;RV;7.32934;52.147384
Calw;RV;8.741854;48.714682
Celle;FV;10.0626343;52.6209628
Cölbe;RV;8.787365;50.848159
Coesfeld(Westf);RV;7.16388;51.939431
Crailsheim;FV;10.064326;49.137872
Darmstadt Hbf;FV;8.629636;49.872503
Sigmaringen;RV;9.221851;48.086984
Delmenhorst;FV;8.629758;53.052792
Derneburg(Han);nur DPN;10.143719;52.096851
Simbach(Inn);RV;13.023012;48.262726
Singen(Hohentwiel);FV;8.840383;47.758438
Dillenburg;RV;8.294088;50.734883
Dillingen(Saar);RV;6.72215;49.35271
Soest;FV;8.104589;51.578419
Donaueschingen;FV;8.498919;47.947786
Donauwörth;FV;10.771443;48.714026
Dortmund Hbf;FV;7.45929;51.517896
Dortmund-Dorstfeld;RV;7.424864;51.509376
Düsseldorf Flughafen;FV;6.786836;51.292009
Dülmen;RV;7.295765;51.827676
Düren;FV;6.482451;50.809517
Düsseldorf Hbf;FV;6.794319;51.219962
Duisburg Hbf;FV;6.775903;51.429785
Solingen Hbf;FV;7.004187;51.160766
Soltau(Han);nur DPN;9.831109;52.983017
Stade;RV;9.477008;53.596143
Eichenberg;RV;9.921482;51.374823
Steinach(b Rothenburg ob der Tauber);FV;10.273535;49.453218
Elmshorn;FV;9.659408;53.754025
Elze(Han);FV;9.746894;52.120147
Engers;RV;7.546827;50.42598
Straubing;FV;12.574094;48.876978
Stuttgart Hbf;FV;9.181635;48.784084
Essen Hbf;FV;7.014793;51.451355
Essen-Steele;RV;7.075552;51.450684
Euskirchen;RV;6.792193;50.65776
Eutingen im Gäu;FV;8.782236;48.479952
Finnentrop;nur DPN;7.964563;51.173048
Flensburg;FV;9.436526;54.774039
Frankenberg(Eder);RV;8.789181;51.054565
Frankfurt(Main)Hbf;FV;8.663789;50.107145
Frankfurt-Höchst;RV;8.54237;50.102634
Freiburg(Breisgau) Hbf;FV;7.84117;47.997697
Freilassing;FV;12.977193;47.836916
Freudenstadt Hbf;RV;8.428803;48.460322
Friedberg(Hess);FV;8.762056;50.332606
Friedrichshafen Stadt;FV;9.4739;47.653224
Fröndenberg;RV;7.762198;51.471254
Fürth(Bay)Hbf;FV;10.989988;49.469707
Fulda;FV;9.683977;50.554723
Traunstein;FV;12.638801;47.869727
Gelnhausen;RV;9.189278;50.196343
Gelsenkirchen Hbf;FV;7.102455;51.504903
Geltendorf;RV;11.0374552;48.1059912
Gemünden(Main);RV;9.699894;50.050018
Gensingen-Horrweiler;RV;7.938188;49.89826
Treuchtlingen;FV;10.908159;48.961267
Gerolstein;RV;6.660372;50.224006
Gießen;FV;8.661462;50.579059
Gladbeck West;RV;6.976389;51.574922
Riedstadt-Goddelau;RV;8.489187;49.83323
Göppingen;FV;9.651969;48.700027
Göttingen;FV;9.926072;51.536815
Treysa;FV;9.185673;50.910661
Goslar;RV;10.421436;51.911573
Graben-Neudorf;RV;8.49063;49.161797
Grävenwiesbach;nur DPN;8.458553;50.382239
Grevenbroich;RV;6.580447;51.093701
Trier Hbf;FV;6.652453;49.756846
Troisdorf;RV;7.150892;50.813922
Groß Gerau;nur DPN;8.486215;49.924934
Grünstadt;RV;8.167962;49.564384
Haan-Gruiten;RV;7.010546;51.214559
Günzburg;FV;10.2792621;48.4605626
Baunatal-Guntershausen;RV;9.466997;51.229917
Tübingen Hbf;FV;9.055407;48.515811
Hagen Hbf;FV;7.460249;51.362747
Weil am Rhein-Gartenstadt;nur DPN;7.616284;47.588707
Türkheim(Bay)Bf;RV;10.617439;48.04569
Haltern am See;RV;7.184366;51.737668
Weil am Rhein-Pfädlistraße;nur DPN;7.626493;47.589015
Hamburg-Harburg;FV;9.991701;53.455908
Hameln;RV;9.375906;52.10185
Hamm(Westf);FV;7.807821;51.678078
Hanau Hbf;FV;8.929;50.120953
Hannover Hbf;FV;9.741021;52.376761
Türkismühle;RV;7.114615;49.580358
