NAME;Verkehr;lng;lat
Augsburg Hbf;FV;10.88557;48.365441
Berlin Hbf;FV;13.369545;52.525592
Bielefeld Hbf;FV;8.532722;52.029261
Bochum Hbf;FV;7.223275;51.478609
Bonn Hbf;FV;7.097136;50.732008
Braunschweig Hbf;FV;10.540295;52.252218
Bremen Hbf;FV;8.813834;53.083481
Dortmund Hbf;FV;7.45929;51.517896
Dresden Hbf;FV;13.732035;51.040563
Düsseldorf Hbf;FV;6.794319;51.219962
Erfurt Hbf;FV;11.038499;50.972551
Essen Hbf;FV;7.014793;51.451355
Frankfurt(Main)Hbf;FV;8.663789;50.107145
Hamburg Hbf;FV;10.006909;53.552736
Hannover Hbf;FV;9.741021;52.376761
Karlsruhe Hbf;FV;8.402181;48.993515
Köln Hbf;FV;6.958729;50.94303
Leipzig Hbf;FV;12.3820639;51.3454712
Mainz Hbf;FV;8.25872;50.001117
Mannheim Hbf;FV;8.468921;49.479354
München Hbf;FV;11.558335;48.140232
Nürnberg Hbf;FV;11.082989;49.445616
Stuttgart Hbf;FV;9.181635;48.784084
